osm_id,code,fclass,population,name,geometry,geometry_wkt
4463153755,1003,village,5000,Inparsiddy,POINT (80.2102172 9.8333019),POINT (80.210217 9.833302)
4463153756,1003,village,5000,Kerudavil,POINT (80.1403683 9.8208151),POINT (80.140368 9.820815)
4463153757,1003,village,5000,Suppar Madam,POINT (80.2285185 9.8295878),POINT (80.228518 9.829588)
4463153758,1003,village,5000,Urikaadu,POINT (80.1605756 9.8230451),POINT (80.160576 9.823045)
4463164601,1003,village,5000,Anaikoddai,POINT (79.9961302 9.7017383),POINT (79.99613 9.701738)
4463164602,1004,hamlet,3000,Aarukaal Madam,POINT (80.0042606 9.6862993),POINT (80.004261 9.686299)
4463164603,1003,village,4000,Kaakai Theevu,POINT (79.9960554 9.6907806),POINT (79.996055 9.690781)
4463164604,1003,village,5000,Navaali,POINT (79.9813382 9.7193178),POINT (79.981338 9.719318)
4463164605,1003,village,4000,Kallundai,POINT (79.979498 9.700635),POINT (79.979498 9.700635)
4464351913,1004,hamlet,50,Batangala Junction,POINT (80.2725939 6.9100169),POINT (80.272594 6.910017)
4464405904,1004,hamlet,0,Kalavitigodella,POINT (80.2676652 6.854562),POINT (80.267665 6.854562)
4464405923,1003,village,500,Asgangula,POINT (80.2713363 6.8530299),POINT (80.271336 6.85303)
4464455804,1003,village,7000,Valalaai,POINT (80.098979 9.8005561),POINT (80.098979 9.800556)
4464455805,1003,village,7000,Idaikaadu,POINT (80.1170613 9.8034604),POINT (80.117061 9.80346)
4464455806,1003,village,7000,Sandilipay,POINT (79.9810746 9.7403238),POINT (79.981075 9.740324)
4464455807,1003,village,7000,Kathiripaay,POINT (80.1156962 9.7907398),POINT (80.115696 9.79074)
4464455808,1003,village,6000,Nelliyaan,POINT (79.9238032 9.7640373),POINT (79.923803 9.764037)
4464455809,1003,village,7000,Pathameny,POINT (80.112866 9.7829855),POINT (80.112866 9.782986)
4464455810,1003,village,7000,Thampaalai,POINT (80.1193088 9.796067),POINT (80.119309 9.796067)
4464455811,1003,village,5000,Sankaraththai,POINT (79.9600662 9.7346796),POINT (79.960066 9.73468)
4464473339,1003,village,7000,Evinai,POINT (80.0753689 9.7546289),POINT (80.075369 9.754629)
4464473341,1003,village,6000,Tholakaddy,POINT (80.0858553 9.7847167),POINT (80.085855 9.784717)
4464544047,1003,village,2000,Pasgama,POINT (80.7326522 7.2056872),POINT (80.732652 7.205687)
4464544048,1003,village,2500,Dehalkada,POINT (80.7466426 7.199322),POINT (80.746643 7.199322)
4464544049,1003,village,1500,Dabawela,POINT (80.7303562 7.2133722),POINT (80.730356 7.213372)
4464544050,1003,village,1500,Kiriwanamadiththa,POINT (80.7251956 7.2107005),POINT (80.725196 7.2107)
4464544051,1004,hamlet,100,Thennahena,POINT (80.7215478 7.2135638),POINT (80.721548 7.213564)
4464544052,1004,hamlet,200,Appallagoda,POINT (80.7305493 7.2235051),POINT (80.730549 7.223505)
4464544054,1003,village,1000,Madiththa,POINT (80.7168486 7.2184599),POINT (80.716849 7.21846)
4464544055,1003,village,2000,Medagama,POINT (80.7116129 7.2189815),POINT (80.711613 7.218982)
4464549007,1003,village,2000,Poojagoda,POINT (80.7081583 7.228497),POINT (80.708158 7.228497)
4464549008,1003,village,1500,,POINT (80.7010879 7.2293484),POINT (80.701088 7.229348)
4464564565,1003,village,1500,Sagama,POINT (80.6966677 7.2354258),POINT (80.696668 7.235426)
4464564566,1003,village,1500,Bootawatte,POINT (80.7016458 7.2384911),POINT (80.701646 7.238491)
4464564567,1003,village,2000,Mudunakade,POINT (80.699028 7.241599),POINT (80.699028 7.241599)
4464564568,1003,village,2000,Moragolla,POINT (80.6810036 7.2253464),POINT (80.681004 7.225346)
4464564569,1004,hamlet,150,Pattiyamulla,POINT (80.6793406 7.2318177),POINT (80.679341 7.231818)
4464564570,1003,village,2000,Ankelipitiya,POINT (80.6884425 7.237202),POINT (80.688442 7.237202)
4464564571,1004,hamlet,150,Egodagama,POINT (80.6758537 7.2364636),POINT (80.675854 7.236464)
4464800706,1003,village,2000,Kossinna,POINT (80.6812033 7.2613284),POINT (80.681203 7.261328)
4464824389,1010,suburb,5000,Wattarantenna,POINT (80.6256166 7.3138739),POINT (80.625617 7.313874)
4464837085,1003,village,1000,Hinguralakanda,POINT (80.3002129 6.9164198),POINT (80.300213 6.91642)
4464893744,1004,hamlet,50,Digala Junction,POINT (80.2962282 6.9620707),POINT (80.296228 6.962071)
4465097856,1003,village,7000,Alvai,POINT (80.2060693 9.8198716),POINT (80.206069 9.819872)
4467281779,1010,suburb,6000,Asgiriya,POINT (80.6290255 7.300427),POINT (80.629026 7.300427)
4467521832,1003,village,7000,Mirusuvil,POINT (80.2380356 9.6667749),POINT (80.238036 9.666775)
4467792631,1003,village,6000,Irupalai,POINT (80.0479848 9.693016),POINT (80.047985 9.693016)
4467792632,1003,village,6000,Kaddaipirai,POINT (80.0567042 9.6768743),POINT (80.056704 9.676874)
4468083857,1003,village,7000,Alaveddy,POINT (80.0072325 9.7667675),POINT (80.007232 9.766768)
4468083858,1003,village,7000,Kantharodai,POINT (80.0089587 9.7508976),POINT (80.008959 9.750898)
4468083860,1003,village,5000,Thoddilady,POINT (79.9842651 9.7552615),POINT (79.984265 9.755262)
4468083861,1003,village,7000,Navakkiry,POINT (80.0986967 9.7661864),POINT (80.098697 9.766186)
4468083862,1003,village,7000,Puttur,POINT (80.0954708 9.7509202),POINT (80.095471 9.75092)
4468083864,1003,village,7000,Raaththalady,POINT (79.9341245 9.7664536),POINT (79.934124 9.766454)
4468083865,1003,village,7000,Anthanan Thidal,POINT (80.1843231 9.7459641),POINT (80.184323 9.745964)
4468083866,1003,village,7000,Panippulam,POINT (79.9506622 9.7723274),POINT (79.950662 9.772327)
4468083867,1003,village,7000,Mandaan,POINT (80.1724934 9.7865705),POINT (80.172493 9.78657)
4468083868,1003,village,7000,Pannaakam,POINT (79.9542611 9.760627),POINT (79.954261 9.760627)
4468083869,1003,village,7000,Imayanan,POINT (80.1736313 9.8012723),POINT (80.173631 9.801272)
4469367417,1003,village,5000,Kaputhoo,POINT (80.1690683 9.7478829),POINT (80.169068 9.747883)
4469367419,1003,village,9000,Neervely,POINT (80.0754616 9.72306),POINT (80.075462 9.72306)
4469412266,1003,village,6000,Koyil Santhai,POINT (80.2092303 9.7845695),POINT (80.20923 9.78457)
4469412267,1003,village,7000,Yarkkaru,POINT (80.2066934 9.7795831),POINT (80.206693 9.779583)
4469440060,1003,village,6000,Varany North,POINT (80.2314576 9.7487591),POINT (80.231458 9.748759)
4469440131,1003,village,7000,Naavatkaadu,POINT (80.2454362 9.7111681),POINT (80.245436 9.711168)
4469440132,1003,village,6000,Kudamiyan,POINT (80.2379207 9.6943907),POINT (80.237921 9.694391)
4469440134,1003,village,6000,Idaikurichchy,POINT (80.2225873 9.7338607),POINT (80.222587 9.733861)
4469440136,1003,village,6000,Thaavalai Iyattalai,POINT (80.190982 9.6896505),POINT (80.190982 9.68965)
4469440138,1003,village,6000,Varany Iyattalai,POINT (80.210127 9.7071805),POINT (80.210127 9.70718)
4469440139,1003,village,7000,Manthuvil,POINT (80.1817603 9.6985893),POINT (80.18176 9.698589)
4469440140,1003,village,6000,Karampaikurichchi,POINT (80.2182513 9.7225164),POINT (80.218251 9.722516)
4469440141,1003,village,7000,Maasery,POINT (80.2391016 9.7398651),POINT (80.239102 9.739865)
4469447631,1003,village,7000,Inuvil,POINT (80.0181157 9.7176295),POINT (80.018116 9.71763)
4469447632,1003,village,7000,Kondavil East,POINT (80.0348813 9.7019988),POINT (80.034881 9.701999)
4469447633,1003,village,7000,Kondavil West,POINT (80.0213127 9.7087085),POINT (80.021313 9.708708)
4469447634,1003,village,7000,Kokkuvil,POINT (80.0190257 9.6987895),POINT (80.019026 9.69879)
4469451044,1003,village,5000,Valveddy,POINT (80.1709892 9.8142169),POINT (80.170989 9.814217)
4469451045,1003,village,5000,Samarapahu,POINT (80.1772372 9.8115849),POINT (80.177237 9.811585)
4469451046,1003,village,7000,Udupiddy,POINT (80.1623544 9.8045384),POINT (80.162354 9.804538)
4469452824,1003,village,7000,Aavarangaal,POINT (80.1105541 9.7583915),POINT (80.110554 9.758392)
4469452825,1003,village,7000,Vaatharawattai,POINT (80.1377647 9.7290191),POINT (80.137765 9.729019)
4469465090,1003,village,5000,Kurinchatheevu,POINT (80.3902841 9.5288064),POINT (80.390284 9.528806)
4469663762,1004,hamlet,500,Periya Pokkanai,POINT (80.1509156 9.7377981),POINT (80.150916 9.737798)
4476671692,1003,village,2000,Mediwaka,POINT (80.8846215 7.3036644),POINT (80.884622 7.303664)
4476671693,1004,hamlet,200,Gangoda,POINT (80.8923463 7.3086873),POINT (80.892346 7.308687)
4476671694,1003,village,1500,Bopana,POINT (80.8997278 7.30641),POINT (80.899728 7.30641)
4476671695,1003,village,1500,Themmitiyawa,POINT (80.909491 7.3230959),POINT (80.909491 7.323096)
4476671696,1003,village,1500,Kirigankumbura,POINT (80.8785681 7.3258299),POINT (80.878568 7.32583)
4476671697,1003,village,1500,Hapugaskumbura,POINT (80.8702747 7.3310654),POINT (80.870275 7.331065)
4476671698,1003,village,1500,Thalagune,POINT (80.8835355 7.3402805),POINT (80.883536 7.34028)
4476671699,1003,village,700,Hare Park Estate,POINT (80.8615843 7.3161888),POINT (80.861584 7.316189)
4476671700,1003,village,600,Meenagola,POINT (80.8616487 7.3247658),POINT (80.861649 7.324766)
4476671701,1050,locality,0,Deanstan,POINT (80.8613697 7.3306823),POINT (80.86137 7.330682)
4476671702,1003,village,3000,Gurulupotha,POINT (80.9254734 7.3464332),POINT (80.925473 7.346433)
4478184304,1003,village,200,Algama,POINT (80.1656287 7.1563626),POINT (80.165629 7.156363)
4478614294,1003,village,0,Valluvarpannai,POINT (80.3589922 9.3444888),POINT (80.358992 9.344489)
4478614295,1003,village,0,Navalarpannai,POINT (80.3486981 9.3509692),POINT (80.348698 9.350969)
4478843858,1004,hamlet,0,Selvanagar,POINT (81.3246835 8.4025678),POINT (81.324684 8.402568)
4478848665,1003,village,0,Pachchanur,POINT (81.2658024 8.4109386),POINT (81.265802 8.410939)
4481052613,1003,village,0,Hokandara North,POINT (79.9711994 6.8836535),POINT (79.971199 6.883654)
4489579713,1003,village,6000,Nunavil,POINT (80.1399352 9.6687279),POINT (80.139935 9.668728)
4490311930,1003,village,0,Horetuduwa,POINT (79.889054 6.7720205),POINT (79.889054 6.77202)
4491695804,1003,village,0,Gorakana,POINT (79.8980775 6.7595033),POINT (79.898078 6.759503)
4491695982,1003,village,0,Sarikkamulla,POINT (79.899806 6.7527181),POINT (79.899806 6.752718)
4491705365,1003,village,0,Pallimulla,POINT (79.9027617 6.7419038),POINT (79.902762 6.741904)
4491745887,1003,village,0,Walana,POINT (79.9047486 6.7311786),POINT (79.904749 6.731179)
4491745944,1003,village,0,Hirana,POINT (79.9347644 6.7333149),POINT (79.934764 6.733315)
4491779567,1003,village,0,Kiriberiya,POINT (79.9434546 6.7287588),POINT (79.943455 6.728759)
4492166010,1003,village,0,Miriswatte,POINT (79.9333746 6.7152207),POINT (79.933375 6.715221)
4494002092,1003,village,7000,Suthumalai,POINT (80.0024237 9.7173383),POINT (80.002424 9.717338)
4494002093,1003,village,7000,Thaavady,POINT (80.0091148 9.7089255),POINT (80.009115 9.708926)
4501795635,1003,village,0,Seetha Eliya,POINT (80.8042861 6.9355124),POINT (80.804286 6.935512)
4502075030,1003,village,150,Panawenna,POINT (80.557962 6.5989643),POINT (80.557962 6.598964)
4503544274,1003,village,0,Pahala Karagahamuna,POINT (79.9417348 7.0042256),POINT (79.941735 7.004226)
4511732484,1003,village,3000,Mayakkai,POINT (80.2184255 9.8164813),POINT (80.218426 9.816481)
4518857914,1003,village,2000,Madatugama,POINT (80.6288229 7.9443896),POINT (80.628823 7.94439)
4524907883,1003,village,500,Mahabedda,POINT (80.5771212 7.7216695),POINT (80.577121 7.72167)
4524912013,1003,village,0,Aluthgama,POINT (80.6020914 7.6971351),POINT (80.602091 7.697135)
4525977835,1003,village,0,Meetiyagoda,POINT (80.096477 6.1901139),POINT (80.096477 6.190114)
4526140952,1003,village,0,Manampita,POINT (80.1381485 6.2021712),POINT (80.138148 6.202171)
4534146845,1003,village,7000,Atchelu,POINT (80.0680018 9.737947),POINT (80.068002 9.737947)
4540946140,1003,village,7000,Kokkuthoduvai,POINT (80.9134448 9.0526011),POINT (80.913445 9.052601)
4544295260,1003,village,0,Jayamalapura,POINT (80.5692092 7.1394794),POINT (80.569209 7.139479)
4546062264,1050,locality,0,Thepanis Cavity,POINT (80.5405725 7.0655748),POINT (80.540572 7.065575)
4548573563,1003,village,500,Ihala Karagahamuna,POINT (79.9382487 7.0170362),POINT (79.938249 7.017036)
4555033283,1004,hamlet,150,Palam Thuna Junction,POINT (79.9243138 6.8949993),POINT (79.924314 6.894999)
4556521105,1003,village,0,Katukithula,POINT (80.6671733 7.0801173),POINT (80.667173 7.080117)
4556773476,1003,village,0,Ruwan Eliya,POINT (80.7775435 6.9430868),POINT (80.777544 6.943087)
