osm_id,name,name_en,name_si,name_ta,type,operator,lat,lon
4187419164,Ambalangoda,Ambalangoda,,,stop,,6.2353661,80.0550817
4187419414,Balapitiya,Balapitiya,,,stop,,6.2763988,80.0434013
4187419452,Kosgoda,Kosgoda,,,stop,,6.3386321,80.0295765
4187419810,Bentota,Bentota,,,stop,,6.4221857,79.9966032
4187419867,Beruwala,Beruwala,,,stop,,6.4769449,79.9837208
4197715607,Kalutara North,Kalutara North,,,stop,,6.6012196,79.9543105
4197716246,Wadduwa,Wadduwa,,,stop,,6.6631472,79.9284533
4197716349,Wadduwa,Wadduwa,,,station,Sri Lanka Railways,6.6632626,79.9286921
4197716350,Train Halt No. 1,Train Halt No. 1,,,station,,6.6325467,79.9403371
4441664134,Wallahagoda,Wallahagoda,,,halt,,7.1454531,80.5616084
4441664135,Kahatapitiya,Kahatapitiya,,,halt,,7.1678057,80.5727616
4441664137,Bothalapitiya,Bothalapitiya,,,halt,,7.1747194,80.5794478
4441961370,Warakapitiya,Warakapitiya,,,halt,,7.1175228,80.5614805
4567953070,Rideethenna,Rideethenna,,,stop,,7.9638175,81.3393718
4613703731,Erukkalampiddy-Nagavillu Railway station,Erukkalampiddy-Nagavillu Railway station,,,station,,7.9615801,79.8301236
4713806031,Asgiriya,Asgiriya,,,station,,7.2978431,80.6352522
4713839156,Palle Talawinna,Palle Talawinna,,,station,,7.3379695,80.6415662
4713846086,Uda Talawinna,Uda Talawinna,,,station,,7.3395582,80.6513081
4713850107,Meegammana,Meegammana,,,station,,7.3404456,80.6670587
4753572652,Ratmalana,Ratmalana,,,stop,Sri Lanka Railways,6.8151872,79.8668707
4753572657,Mount Lavinia,Mount Lavinia,,,stop,Sri Lanka Railways,6.8317127,79.8627223
4753572670,Angulana,Angulana,,,stop,,6.7988449,79.8727507
4753573110,Angulana,Angulana,,,station,Sri Lanka Railways,6.7988303,79.8727054
4753573335,Lunawa,Lunawa,,,station,Sri Lanka Railways,6.786652,79.8755526
4753573395,Lunawa,Lunawa,,,stop,,6.7866502,79.8756389
4753573658,Koralawalla,Koralawalla,,,stop,,6.7584521,79.8859023
4753573665,Moratuwa,Moratuwa,,,stop,,6.7744287,79.881772
4753573666,Egoda Uyana,Egoda Uyana,,,stop,,6.7429591,79.8917317
4762470007,Colombo Fort,Colombo Fort,,,stop,,6.9330416,79.8500406
4762471168,Bambalapitiya,Bambalapitiya,,,station,,6.8939771,79.8529609
4775762063,Perakumpura Sub Railway,Perakumpura Sub Railway,,,station,,6.9198221,80.7536319
4949449992,Kadigamuwa,Kadigamuwa,,,station,,7.3179288,80.4333295
5172591870,Glenanore Railway Station,Glenanore Railway Station,,,station,,6.7712498,80.9366065
5197210246,Bulugahagoda,Bulugahagoda,,,stop,,7.0656094,79.9453877
5231348686,Ohiya,Ohiya,,,stop,,6.817767,80.8433099
5260460514,Wadurawa Railway Station,Wadurawa Railway Station,,,station,,7.167838,80.0660584
5330253865,Kurunegala,Kurunegala,,,stop,,7.4769573,80.3741986
5338791530,Battulu Oya,Battulu Oya,,,station,,7.7272017,79.8316925
5345932772,Weherahena,Weherahena,,,stop,,5.9570171,80.5779228
5345933452,Bambaranda,Bambaranda,,,station,,5.9705981,80.6607525
5610108237,IPZ - Katunayake South,IPZ - Katunayake South,,,station,,7.157917,79.8752569
5769519427,Kompannavidiya,Kompannavidiya,,,stop,,6.9230566,79.84963
5769546407,Wellawatta,Wellawatta,,,stop,Sri Lanka Railways,6.8750845,79.8575082
5769656114,Yagoda,Yagoda,,,station,,7.0747267,79.9739
5769656115,Ragama,Ragama,,,station,,7.0299493,79.921428
5769656116,Horape,Horape,,,station,,7.0165896,79.918322
5769656117,Enderamulla,Enderamulla,,,station,,7.0004396,79.9068341
5769656118,Hunupitiya,Hunupitiya,,,station,,6.9877406,79.9004906
5769697428,Heendeniya-Pattigoda,Heendeniya-Pattigoda,,,station,,7.1411178,80.0471618
5769697429,Megalegoda,Megalegoda,,,station,,7.1338726,80.0362369
5769697430,Bemmulla,Bemmulla,,,station,,7.1224062,80.0204927
5769697431,Daraluwa,Daraluwa,,,station,,7.1070543,80.0104022
5769697432,Gampaha,Gampaha,,,station,,7.0920985,79.992772
5769702653,Veyangoda,Veyangoda,,,station,,7.1530741,80.0584119
5769719768,Wijayarajadahana,Wijayarajadahana,,,station,,7.2309324,80.1184778
5769838363,Alawathupitiya,Alawathupitiya,,,station,,7.115952,79.8870266
5769838364,Kudahakapola,Kudahakapola,,,station,,7.103893,79.889808
5769838365,Tudella,Tudella,,,station,,7.0929503,79.8909487
5769838366,Ja ela,Ja ela,,,station,,7.0777904,79.8921517
5769838367,Kapuwatta,Kapuwatta,,,station,,7.0629149,79.896002
5769838368,Kandana,Kandana,,,station,,7.04929,79.9015367
5769838369,Peralanda,Peralanda,,,station,,7.0381323,79.9122199
5769840419,Katunayake,Katunayake,,,station,,7.1674441,79.8718829
5785426625,Thoddaweli,Thoddaweli,,,halt,,9.0252665,79.8672988
5793023221,Thoddaweli,Thoddaweli,,,stop,,9.0253274,79.8674256
5847983789,Maradana,Maradana Railway Station,,மருதானை,station,,6.9292373,79.865796
6178170434,Konwewa,Konwewa,,,stop,,7.8507981,80.3492617
6249261987,Murikandy (Kokavil ),Murikandy (Kokavil ),,முறிகண்டி (கொக்காவில் ),stop,,9.271157,80.402452
6258681274,Alawwa,Alawwa,,,stop,,7.293344,80.2386962
6298925921,Boossa,Boossa,,,station,Sri Lanka Railways,6.0739289,80.1611425
6402509511,Wewrukannala,Wewrukannala,,,station,,5.9794925,80.6973864
6459347853,Thillayadi Railway Stattion,Thillayadi Railway Stattion,,,stop,,8.0049692,79.8373903
6541880607,Maradana,Maradana,,,stop,,6.9291109,79.8660817
6541880608,Maradana,Maradana,,,stop,,6.9289937,79.8661549
6541893443,Secretariat,Secretariat,,,stop,,6.9314515,79.8459992
6541893444,Secretariat,Secretariat,,,stop,,6.9314536,79.8460399
6541893445,Kompannavidiya,Kompannavidiya,,,stop,,6.9230676,79.8496594
6541919413,Kompannavidiya,Kompannavidiya,,,station,Sri Lanka Railways,6.9230404,79.8496524
7056363400,Paranthan,Paranthan,,,stop,,9.4401956,80.4070312
7068816111,Punewa,Punewa,,,stop,,8.6130742,80.4629204
7483359602,Kekanadura,Kekanadura,,,station,,5.9606591,80.5990478
7563681771,Kondavil,Kondavil,,,stop,,9.7039888,80.0247376
7563703137,Chunnakam,Chunnakam,,,stop,,9.7458308,80.0333435
7563703164,Tellipalai,Tellipalai,,,stop,,9.7849797,80.0352685
7563703181,Maviddapuram,Maviddapuram,,,stop,,9.7989472,80.038631
7563703339,Kankasanturai,Kankasanturai,,,stop,,9.8144197,80.0479692
7563703340,Kankasanturai,Kankasanturai,,,stop,,9.81449,80.0479692
7571568170,Bambalapitiya,Bambalapitiya,,,station,Sri Lanka Railways,6.893674,79.8529894
7571568171,Kollupitiya,Kollupitiya,,கொள்ளுபிட்டி,station,Sri Lanka Railways,6.9113228,79.8481929
8150743630,Kadugoda,Kadugoda,,,stop,,6.9180634,80.1348493
8158766889,Puwakpitiya,Puwakpitiya,,,station,,6.9337144,80.1880442
8621320078,Badulla,Badulla,,,stop,,6.979976,81.0597665
8621993886,Yatagama,Yatagama,,,stop,,7.3185785,80.3641024
8621993906,Yatagama,Yatagama,,,stop,,7.3186184,80.3641078
8622016574,Panaliya,Panaliya,,,stop,,7.3285613,80.3252614
8692732137,Maho Junction,Maho Junction,,,stop,,7.8231531,80.2749592
8692732152,Maho Junction,Maho Junction,,,stop,,7.8233324,80.2751764
8692732223,Maho Junction,Maho Junction,,,stop,,7.8233178,80.2751429
8692974218,Galoya Junction,Galoya Junction,,,stop,,8.1379587,80.8658016
8692974231,Galoya Junction,Galoya Junction,,,stop,,8.1379202,80.8658043
8692974246,Galoya Junction,Galoya Junction,,,stop,,8.137883,80.8657908
8692974277,Galoya Junction,Galoya Junction,,,stop,,8.1376467,80.8657533
