from,to,distance_km,duration_min
gampaha,tangalle,195.6,157.2
gampaha,ambalangoda,114.8,98.0
gampaha,deniyaya,205.0,181.3
gampaha,tissamaharama,262.4,212.8
gampaha,akuressa,156.9,134.5
gampaha,weligama,156.6,128.3
gampaha,batapola,113.1,100.0
gampaha,elipitiya,105.8,92.7
gampaha,jaffna,371.5,418.4
gampaha,vavuniya,231.7,255.1
gampaha,mannar,275.1,322.0
gampaha,kilinochchi,309.0,350.2
gampaha,mullaitivu,305.7,358.3
gampaha,point pedro,366.4,417.4
gampaha,chavakachcheri,356.6,402.2
gampaha,kayts,390.6,445.3
gampaha,veldithurai,370.4,424.0
gampaha,nallur,368.6,415.8
gampaha,trincomalee,235.1,253.3
gampaha,batticaloa,287.8,309.4
gampaha,ampara,278.4,320.9
gampaha,kalmunai,294.1,343.6
gampaha,akkaraipattu,306.2,356.5
gampaha,erei,228.1,255.9
gampaha,kattankudy,293.3,316.2
gampaha,mutur,242.8,266.6
gampaha,valachchenai,264.7,288.5
gampaha,kurunegala,71.4,70.9
gampaha,puttalam,121.4,131.0
gampaha,chilaw,67.7,73.1
gampaha,kuliyapitiya,53.8,66.3
gampaha,naththandiya,51.8,62.2
gampaha,wennappuwa,42.8,47.8
gampaha,madurankuliya,107.8,118.1
gampaha,pannala,36.7,48.2
gampaha,anuradhapura,171.6,205.2
gampaha,polonnaruwa,193.2,200.5
gampaha,medawachchiya,207.9,225.3
gampaha,kaduruwela,195.8,205.9
gampaha,kekirawa,155.4,164.7
gampaha,habarana,148.7,152.4
gampaha,galenbindunuwewa,213.6,240.5
gampaha,talawa,155.0,184.4
gampaha,badulla,196.0,228.5
gampaha,bandarawela,179.4,200.7
gampaha,monaragala,232.6,254.8
gampaha,welimada,165.2,189.4
gampaha,mahiyanganaya,167.5,197.1
gampaha,haputale,162.6,198.8
gampaha,ella,192.6,215.5
gampaha,passara,210.2,255.1
gampaha,wellawaya,185.3,204.4
gampaha,ratnapura,81.6,95.9
gampaha,kegalle,54.1,58.9
gampaha,embilipitiya,153.4,174.2
gampaha,balangoda,125.2,142.1
gampaha,ruwanwella,44.2,54.2
gampaha,deraniyagala,59.3,76.7
gampaha,kitulgala,71.7,83.6
gampaha,rakkula,111.0,128.0
kelaniya,kalutara,52.5,51.3
kelaniya,panadura,44.8,42.9
kelaniya,horana,37.8,36.8
kelaniya,avissawella,38.4,47.3
kelaniya,wattala,8.6,11.6
kelaniya,homagama,21.5,21.9
kelaniya,maharagama,14.9,25.3
kelaniya,boralesgamuwa,19.2,29.6
kelaniya,kandy,107.6,124.3
kelaniya,matale,137.7,148.8
kelaniya,nuwara eliya,150.4,172.3
kelaniya,gampola,105.2,129.5
kelaniya,hatton,112.1,129.7
kelaniya,dambulla,143.6,150.7
kelaniya,katugastota,111.0,129.7
kelaniya,peradeniya,101.7,117.0
kelaniya,pilimathalawa,94.9,108.5
kelaniya,galagedara,114.3,122.2
kelaniya,galle,116.6,100.2
kelaniya,matara,153.7,124.8
kelaniya,hambantota,238.6,187.1
kelaniya,tangalle,180.7,143.2
kelaniya,ambalangoda,99.9,83.9
kelaniya,deniyaya,190.1,167.2
kelaniya,tissamaharama,247.5,198.7
kelaniya,akuressa,142.0,120.4
kelaniya,weligama,141.7,114.2
kelaniya,batapola,98.2,85.9
kelaniya,elipitiya,90.9,78.6
kelaniya,jaffna,387.6,439.4
kelaniya,vavuniya,247.8,276.1
kelaniya,mannar,287.6,330.4
kelaniya,kilinochchi,325.1,371.2
kelaniya,mullaitivu,321.8,379.3
kelaniya,point pedro,382.5,438.3
kelaniya,chavakachcheri,372.7,423.2
kelaniya,kayts,406.7,466.3
kelaniya,veldithurai,386.4,445.0
kelaniya,nallur,384.7,436.8
kelaniya,trincomalee,251.2,274.3
kelaniya,batticaloa,303.9,330.4
kelaniya,ampara,294.5,341.9
kelaniya,kalmunai,310.2,364.6
kelaniya,akkaraipattu,350.1,370.5
kelaniya,erei,244.2,276.9
kelaniya,kattankudy,309.4,337.2
kelaniya,mutur,258.9,287.6
kelaniya,valachchenai,280.8,309.5
kelaniya,kurunegala,87.5,91.9
kelaniya,puttalam,133.9,139.4
kelaniya,chilaw,80.2,81.4
kelaniya,kuliyapitiya,78.1,89.0
kelaniya,naththandiya,64.4,70.6
kelaniya,wennappuwa,55.3,56.1
kelaniya,madurankuliya,120.4,126.4
kelaniya,pannala,62.4,68.2
kelaniya,anuradhapura,207.6,220.4
kelaniya,polonnaruwa,209.3,221.5
kelaniya,medawachchiya,224.0,246.3
kelaniya,kaduruwela,211.9,226.9
kelaniya,kekirawa,171.5,185.7
kelaniya,habarana,164.8,173.4
kelaniya,galenbindunuwewa,229.7,261.5
kelaniya,talawa,189.0,202.2
kelaniya,badulla,213.0,226.8
kelaniya,bandarawela,185.3,195.5
kelaniya,monaragala,238.5,249.6
kelaniya,welimada,171.2,198.4
kelaniya,mahiyanganaya,183.6,218.1
kelaniya,haputale,168.5,193.6
kelaniya,ella,198.5,210.3
kelaniya,passara,227.2,253.5
kelaniya,wellawaya,191.2,199.2
kelaniya,ratnapura,87.5,90.7
kelaniya,kegalle,70.2,79.9
kelaniya,embilipitiya,159.4,169.0
kelaniya,balangoda,131.2,136.9
kelaniya,ruwanwella,57.2,72.0
kelaniya,deraniyagala,61.6,76.5
kelaniya,kitulgala,77.7,92.6
kelaniya,rakkula,116.9,122.8
kalutara,panadura,16.0,20.3
kalutara,horana,26.5,30.5
kalutara,avissawella,75.1,82.0
kalutara,wattala,59.7,60.1
kalutara,homagama,37.6,40.4
kalutara,maharagama,39.2,45.4
kalutara,boralesgamuwa,35.5,39.9
kalutara,kandy,151.2,159.8
kalutara,matale,181.3,184.3
kalutara,nuwara eliya,187.2,207.0
kalutara,gampola,148.7,165.1
kalutara,hatton,148.8,164.3
kalutara,dambulla,187.2,186.2
kalutara,katugastota,154.5,165.2
kalutara,peradeniya,145.3,152.6
kalutara,pilimathalawa,138.5,144.0
kalutara,galagedara,157.9,157.8
kalutara,galle,76.2,74.3
kalutara,matara,113.4,98.9
kalutara,hambantota,198.3,161.2
kalutara,tangalle,140.4,117.3
kalutara,ambalangoda,43.0,49.3
kalutara,deniyaya,149.7,141.3
kalutara,tissamaharama,207.2,172.8
